,x,y
0,172,-307
1,242,-300
2,291,-300
3,309,-300
4,331,-307
5,373,-305
6,421,-310
7,487,-292
8,528,-274
9,541,-259
10,540,-223
11,525,-204
12,496,-198
13,479,-200
14,460,-220
15,445,-240
16,410,-247
17,351,-253
18,291,-251
19,232,-241
20,174,-222
21,134,-210
22,102,-206
23,94,-226
24,98,-245
25,91,-257
26,77,-275
27,77,-301
28,95,-317
29,116,-320
30,172,-307
