,x,y
0,74,-73
1,62,-76
2,50,-95
3,53,-130
4,68,-214
5,80,-266
6,163,-344
7,278,-302
8,397,-255
9,429,-160
10,448,-108
11,445,-76
12,428,-62
13,416,-49
14,405,-20
15,392,-4
16,357,0
17,347,-5
18,255,-18
19,127,-30
20,98,-30
21,79,-51
22,74,-70
23,74,-73
