,x,y
0,228,-249
1,225,-266
2,232,-304
3,243,-360
4,252,-398
5,247,-426
6,232,-445
7,222,-445
8,211,-438
9,207,-402
10,198,-370
11,181,-342
12,158,-322
13,126,-314
14,110,-314
15,107,-321
16,115,-324
17,141,-344
18,144,-385
19,149,-438
20,179,-496
21,256,-508
22,307,-455
23,316,-395
24,304,-325
25,287,-252
26,307,-225
27,307,-193
28,295,-173
29,268,-164
30,245,-168
31,234,-175
32,220,-196
33,217,-220
34,221,-231
35,229,-246
36,228,-249
